                         index file runs obj_mean   obj_sd ttot_mean
100_1000_20_2   100_1000_20_2   10    500.0 0.000000      0.98
100_1000_20_20 100_1000_20_20   10     52.0 0.666667      1.02
100_1000_20_4   100_1000_20_4   10    250.0 0.000000      1.04
100_1000_20_50 100_1000_20_50   10     41.1 1.100505      0.97
100_1000_4_10   100_1000_4_10   10    230.3 2.263233      0.91
100_1000_4_2     100_1000_4_2   10    500.0 0.000000      0.98
100_1000_4_20   100_1000_4_20   10    227.5 2.368778      0.84
100_1000_4_4     100_1000_4_4   10    256.4 1.577621      0.79
100_1000_4_50   100_1000_4_50   10    225.1 2.078995      0.89
100_500_20_10   100_500_20_10   10     50.0 0.000000      0.26
100_500_20_2     100_500_20_2   10    250.0 0.000000      0.25
100_500_20_20   100_500_20_20   10     26.1 0.316228      0.24
100_500_20_4     100_500_20_4   10    125.0 0.000000      0.28
100_500_20_50   100_500_20_50   10     18.5 0.849837      0.27
100_500_4_10     100_500_4_10   10    111.3 2.451757      0.20
100_500_4_2       100_500_4_2   10    250.0 0.000000      0.24
100_500_4_20     100_500_4_20   10    109.4 2.011080      0.23
100_500_4_4       100_500_4_4   10    128.9 0.875595      0.22
100_500_4_50     100_500_4_50   10    108.1 1.663330      0.21
50_100_20_10     50_100_20_10   10     10.0 0.000000      0.04
50_100_20_2       50_100_20_2   10     50.0 0.000000      0.02
50_100_20_20     50_100_20_20   10      5.0 0.000000      0.02
50_100_20_4       50_100_20_4   10     25.0 0.000000      0.02
50_100_20_50     50_100_20_50   10      2.8 0.421637      0.02
50_100_4_10       50_100_4_10   10     19.8 1.135292      0.02
50_100_4_2         50_100_4_2   10     50.0 0.000000      0.02
50_100_4_20       50_100_4_20   10     18.7 0.948683      0.02
50_100_4_4         50_100_4_4   10     26.4 0.699206      0.02
50_100_4_50       50_100_4_50   10     17.4 0.699206      0.02
50_1000_20_10   50_1000_20_10   10    100.0 0.000000      0.49
50_1000_20_2     50_1000_20_2   10    500.0 0.000000      0.49
50_1000_20_20   50_1000_20_20   10     53.1 0.567646      0.52
50_1000_20_4     50_1000_20_4   10    250.0 0.000000      0.52
50_1000_20_50   50_1000_20_50   10     42.6 0.843274      0.52
50_1000_4_10     50_1000_4_10   10    233.5 2.273030      0.40
50_1000_4_2       50_1000_4_2   10    500.0 0.000000      0.41
50_1000_4_20     50_1000_4_20   10    232.7 2.540779      0.48
50_1000_4_4       50_1000_4_4   10    257.4 0.843274      0.49
50_1000_4_50     50_1000_4_50   10    228.9 2.685351      0.48
50_500_20_10     50_500_20_10   10     50.0 0.000000      0.13
50_500_20_2       50_500_20_2   10    250.0 0.000000      0.13
50_500_20_20     50_500_20_20   10     26.9 0.737865      0.13
50_500_20_4       50_500_20_4   10    125.0 0.000000      0.14
50_500_20_50     50_500_20_50   10     20.0 0.816497      0.14
50_500_4_10       50_500_4_10   10    114.2 2.149935      0.11
50_500_4_2         50_500_4_2   10    250.0 0.000000      0.12
50_500_4_20       50_500_4_20   10    111.1 1.663330      0.12
50_500_4_4         50_500_4_4   10    130.1 0.737865      0.11
50_500_4_50       50_500_4_50   10    109.3 1.888562      0.10
